soc_code,vector_type,vector_json
13-1021.00,riasec,"{""ria_A"":0.1542857142857143,""ria_C"":0.6857142857142857,""ria_E"":0.7014285714285714,""ria_I"":0.2642857142857143,""ria_R"":0.6514285714285714,""ria_S"":0.24857142857142858}"
13-1022.00,riasec,"{""ria_A"":0.22285714285714286,""ria_C"":0.7385714285714285,""ria_E"":0.7471428571428572,""ria_I"":0.2742857142857143,""ria_R"":0.48142857142857143,""ria_S"":0.35000000000000003}"
13-1023.00,riasec,"{""ria_A"":0.16999999999999998,""ria_C"":0.8071428571428572,""ria_E"":0.7271428571428571,""ria_I"":0.26,""ria_R"":0.5,""ria_S"":0.2757142857142857}"
13-1031.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.89,""ria_E"":0.6814285714285714,""ria_I"":0.5042857142857142,""ria_R"":0.1757142857142857,""ria_S"":0.37285714285714283}"
13-1032.00,riasec,"{""ria_A"":0.1657142857142857,""ria_C"":0.7771428571428572,""ria_E"":0.5057142857142857,""ria_I"":0.4342857142857143,""ria_R"":0.7385714285714285,""ria_S"":0.23428571428571426}"
13-1041.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.9042857142857142,""ria_E"":0.5828571428571429,""ria_I"":0.43857142857142856,""ria_R"":0.35857142857142854,""ria_S"":0.4242857142857143}"
13-1041.01,riasec,"{""ria_A"":0.15,""ria_C"":0.8342857142857143,""ria_E"":0.4585714285714286,""ria_I"":0.6814285714285714,""ria_R"":0.6528571428571429,""ria_S"":0.33571428571428574}"
13-1041.03,riasec,"{""ria_A"":0.24714285714285714,""ria_C"":0.7442857142857143,""ria_E"":0.7671428571428571,""ria_I"":0.43,""ria_R"":0.1757142857142857,""ria_S"":0.6057142857142858}"
13-1041.04,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.8942857142857142,""ria_E"":0.6,""ria_I"":0.47428571428571425,""ria_R"":0.4414285714285714,""ria_S"":0.3442857142857143}"
13-1041.06,riasec,"{""ria_A"":0.21428571428571427,""ria_C"":0.6942857142857143,""ria_E"":0.5842857142857143,""ria_I"":0.7057142857142857,""ria_R"":0.5771428571428572,""ria_S"":0.4428571428571429}"
